Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp,FlowId,ClientId,Fqdn
900,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-04-06T12:02:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4,System,IPv4,TCP,LISTEN,192.168.40.142,139,0.0.0.0,0,2026-04-06T12:02:53Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
3344,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-04-06T12:03:06Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-04-06T12:18:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
0,,IPv4,TCP,TIME_WAIT,127.0.0.1,8000,127.0.0.1,55081,1601-01-01T00:00:00Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,55094,2026-04-06T12:19:00Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,55097,2026-04-06T12:19:01Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,55098,2026-04-06T12:19:01Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,55092,2026-04-06T12:18:59Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-04-06T12:18:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,55077,2026-04-06T12:18:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-04-06T12:18:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-04-06T12:18:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,50686,2026-04-06T12:19:09Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
668,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-04-06T12:02:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
512,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-04-06T12:02:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
1204,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-04-06T12:02:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
1172,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-04-06T12:02:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2560,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49671,0.0.0.0,0,2026-04-06T12:02:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
648,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49674,0.0.0.0,0,2026-04-06T12:03:02Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
5968,SearchApp.exe,IPv4,TCP,ESTAB,192.168.40.142,50313,23.11.39.161,80,2026-04-06T12:13:03Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
7748,msedge.exe,IPv4,TCP,ESTAB,127.0.0.1,50686,127.0.0.1,8889,2026-04-06T12:19:09Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
7748,msedge.exe,IPv4,TCP,ESTAB,192.168.40.142,51340,104.18.11.207,443,2026-04-06T12:05:50Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
7748,msedge.exe,IPv4,TCP,ESTAB,192.168.40.142,52672,150.171.27.11,443,2026-04-06T12:19:13Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv4,TCP,ESTAB,192.168.40.142,52675,52.123.253.74,443,2026-04-06T12:21:02Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv4,TCP,ESTAB,192.168.40.142,52676,23.11.39.161,80,2026-04-06T12:21:03Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv4,TCP,ESTAB,192.168.40.142,52678,96.17.194.241,80,2026-04-06T12:21:06Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv4,TCP,ESTAB,192.168.40.142,52679,20.189.173.6,443,2026-04-06T12:21:19Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
944,WWAHost.exe,IPv4,TCP,CLOSE_WAIT,192.168.40.142,54087,23.11.39.161,80,2026-04-06T12:06:41Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
944,WWAHost.exe,IPv4,TCP,CLOSE_WAIT,192.168.40.142,54094,23.50.128.41,443,2026-04-06T12:06:42Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
3884,svchost.exe,IPv4,TCP,ESTAB,192.168.40.142,55076,4.213.25.241,443,2026-04-06T12:18:55Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,55077,127.0.0.1,8001,2026-04-06T12:18:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,55092,127.0.0.1,8000,2026-04-06T12:18:59Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,55094,127.0.0.1,8000,2026-04-06T12:19:00Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,55097,127.0.0.1,8000,2026-04-06T12:19:01Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6776,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,55098,127.0.0.1,8000,2026-04-06T12:19:01Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
7748,msedge.exe,IPv4,TCP,ESTAB,192.168.40.142,58774,204.79.197.203,443,2026-04-06T12:13:17Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
3884,svchost.exe,IPv4,TCP,ESTAB,192.168.40.142,59886,4.213.25.241,443,2026-04-06T12:17:55Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-04-06T12:03:01Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
7232,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,7680,0.0.0.0,0,2026-04-06T12:03:49Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
900,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2026-04-06T12:02:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4,System,IPv6,TCP,LISTEN,::,445,::,0,2026-04-06T12:03:01Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
7232,svchost.exe,IPv6,TCP,LISTEN,::,7680,::,0,2026-04-06T12:03:49Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
668,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2026-04-06T12:02:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
512,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2026-04-06T12:02:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
1204,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2026-04-06T12:02:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
1172,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2026-04-06T12:02:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2560,spoolsv.exe,IPv6,TCP,LISTEN,::,49671,::,0,2026-04-06T12:02:56Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
648,services.exe,IPv6,TCP,LISTEN,::,49674,::,0,2026-04-06T12:03:02Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4,System,IPv4,UDP,,192.168.40.142,137,,0,2026-04-06T12:02:53Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4,System,IPv4,UDP,,192.168.40.142,138,,0,2026-04-06T12:02:53Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,192.168.40.142,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
3344,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2026-04-06T12:03:00Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4860,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-06T12:05:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-06T12:02:55Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2026-04-06T12:17:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,192.168.40.142,53966,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv4,UDP,,127.0.0.1,53967,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
3732,svchost.exe,IPv4,UDP,,127.0.0.1,60044,,0,2026-04-06T12:03:02Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4860,msedge.exe,IPv4,UDP,,0.0.0.0,5353,,0,2026-04-06T12:05:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv4,UDP,,0.0.0.0,52831,,0,2026-04-06T12:21:06Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,::1,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,fe80::e9cf:b0a0:5ba:e965,1900,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv6,UDP,,::,5353,,0,2026-04-06T12:02:55Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
4860,msedge.exe,IPv6,UDP,,::,5353,,0,2026-04-06T12:05:51Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
2056,svchost.exe,IPv6,UDP,,::,5355,,0,2026-04-06T12:17:52Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
8140,SkypeApp.exe,IPv6,UDP,,::,52831,,0,2026-04-06T12:21:06Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,fe80::e9cf:b0a0:5ba:e965,53964,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
6452,svchost.exe,IPv6,UDP,,::1,53965,,0,2026-04-06T12:03:28Z,F.D79QAR229VA1U.H,C.b38d16e07e7cd8dc,DESKTOP-FT1CM1S.localdomain
